PKNC_1,PKNC_2,PKNC_3,PKNC_4,PKNC_5,PKNC_6,PKNC_7,PKNC_8,PKNC_9,PKNC_10,PKNC_11,PKNC_12,PKNC_13,PKNC_14,PKNC_15,PKNC_16,PKNC_17,PKNC_18,PKNC_19,PKNC_20,PKNC_21
0,0,0.12302564,0,0.06151282,0,0,0.03075641,0.06151282,0.09226923,0.09226923,0.03075641,0.03075641,0,0.03075641,0,0.08756735,0.12313551,0.10204967,0.0655968,0.06803528
0,0.03275148,0.13100593,0.03275148,0.09825445,0,0,0,0.09825445,0.06550297,0.13100593,0,0,0,0,0,0.0761844,0.1086367,0.0918873,0.04316811,0.09059679
0,0,0.03031329,0,0.03031329,0.03031329,0,0.12125315,0,0.03031329,0.09093986,0.03031329,0,0.12125315,0.03031329,0.03031329,0.06045401,0.08501947,0.09973274,0.1107188,0.09843581
0.02995706,0.08987118,0.02995706,0,0.05991412,0,0.02995706,0.02995706,0,0.02995706,0.05991412,0.05991412,0.02995706,0,0.05991412,0.02995706,0.06857306,0.0895195,0.11898213,0.09839029,0.08530797
0.0304755,0.0304755,0.0304755,0,0,0.0304755,0.0304755,0.09142649,0.06095099,0.0304755,0.0304755,0.0304755,0,0.06095099,0.0304755,0.06095099,0.07940443,0.09849708,0.08476545,0.10320327,0.08557083
0,0.02961527,0,0,0,0.08884582,0,0.1184611,0.05923055,0.02961527,0.02961527,0,0,0.02961527,0.08884582,0.05923055,0.07996776,0.12229805,0.1158789,0.08880875,0.0599716
0,0,0,0,0,0.02665874,0.02665874,0.07997623,0,0.07997623,0.05331749,0.02665874,0.02665874,0.02665874,0.07997623,0.05331749,0.08529288,0.11514616,0.0899362,0.10227414,0.12749323
0,0,0.08497093,0,0,0.02832364,0,0.08497093,0.02832364,0.08497093,0.02832364,0.02832364,0.02832364,0.02832364,0.05664729,0.02832364,0.08373267,0.10899636,0.10872078,0.10648078,0.08224384
0,0.03168322,0.09504967,0.03168322,0.09504967,0.03168322,0,0,0.06336644,0.06336644,0.12673289,0,0,0,0.03168322,0,0.08358083,0.10973145,0.09206477,0.05253402,0.09179093
0,0.0302965,0.0302965,0.0302965,0.0908895,0,0.0302965,0,0,0.060593,0.121186,0.060593,0,0.0302965,0.060593,0,0.07073069,0.08296324,0.09909255,0.10825098,0.09362555
0.05954241,0.02977121,0.05954241,0,0.02977121,0,0.02977121,0.02977121,0.08931362,0.02977121,0.08931362,0.02977121,0,0.02977121,0.02977121,0,0.06806542,0.09357613,0.0905899,0.10182305,0.11006379
0,0.03262643,0.09787928,0.03262643,0.06525286,0.06525286,0.03262643,0,0.09787928,0.03262643,0,0.03262643,0,0.06525286,0.03262643,0,0.0834216,0.09466934,0.08944021,0.07422403,0.07096913
0,0,0.05742679,0,0,0.0287134,0.0287134,0.08614019,0.0287134,0.05742679,0.0287134,0.05742679,0.0287134,0.0287134,0.05742679,0.0287134,0.08177068,0.10156173,0.11155195,0.10919384,0.07908066
0.02751543,0.02751543,0,0.02751543,0,0.02751543,0.05503087,0.05503087,0.0825463,0.05503087,0,0.02751543,0,0.02751543,0.0825463,0,0.08351395,0.09906967,0.1072481,0.10154051,0.11334996
0.02621372,0,0,0.02621372,0,0.02621372,0.02621372,0.05242744,0.02621372,0.05242744,0.07864116,0.02621372,0,0.02621372,0.05242744,0.05242744,0.07630719,0.11525631,0.10545482,0.10583106,0.12530364
0.0283419,0.0283419,0.05668381,0,0.05668381,0.08502571,0,0.08502571,0.0283419,0.0283419,0.0283419,0,0,0.05668381,0,0.0283419,0.07625137,0.09851536,0.08561512,0.1157481,0.11371581
0,0,0.02924443,0,0,0.05848886,0,0.14622216,0,0.05848886,0.02924443,0,0.02924443,0.05848886,0.05848886,0.05848886,0.07139261,0.10320003,0.10210929,0.09803635,0.09886195
0.06204562,0,0.12409125,0.03102281,0.06204562,0.06204562,0,0,0.09306844,0.03102281,0.06204562,0,0,0.03102281,0,0,0.07350065,0.10133067,0.10899645,0.08349608,0.07426553
